X1 	 -33599 X2 	 -7453 	 Y1 	 33733 Y2 6233 	 Z1 	 -16694 Z2 	 -2636 
X1 	 -33587 X2 	 -7365 	 Y1 	 33602 Y2 6118 	 Z1 	 -16605 Z2 	 -2874 
X1 	 -33599 X2 	 -7360 	 Y1 	 33592 Y2 6106 	 Z1 	 -16629 Z2 	 -2911 
X1 	 -33497 X2 	 -6620 	 Y1 	 33568 Y2 6100 	 Z1 	 -16768 Z2 	 -3068 
X1 	 -33483 X2 	 -7279 	 Y1 	 33649 Y2 6125 	 Z1 	 -16635 Z2 	 -2979 
X1 	 -33653 X2 	 -6396 	 Y1 	 33933 Y2 6714 	 Z1 	 -16680 Z2 	 -2738 
X1 	 -33495 X2 	 -7044 	 Y1 	 34325 Y2 7651 	 Z1 	 -16673 Z2 	 -3911 
X1 	 -33788 X2 	 -8410 	 Y1 	 34965 Y2 8461 	 Z1 	 -16851 Z2 	 -4101 
X1 	 -32569 X2 	 -7864 	 Y1 	 35369 Y2 8557 	 Z1 	 -16939 Z2 	 -2607 
X1 	 -33794 X2 	 -6697 	 Y1 	 34622 Y2 7612 	 Z1 	 -16661 Z2 	 -5365 
X1 	 -33319 X2 	 -5570 	 Y1 	 33818 Y2 6520 	 Z1 	 -16637 Z2 	 -3195 
X1 	 -33784 X2 	 -6817 	 Y1 	 35359 Y2 9702 	 Z1 	 -16906 Z2 	 -3154 
X1 	 -33282 X2 	 -7239 	 Y1 	 35763 Y2 8452 	 Z1 	 -16976 Z2 	 -1383 
X1 	 -33748 X2 	 -6678 	 Y1 	 34035 Y2 6181 	 Z1 	 -16676 Z2 	 -1717 
X1 	 -33769 X2 	 -7945 	 Y1 	 34072 Y2 6704 	 Z1 	 -16641 Z2 	 -2980 
X1 	 -32705 X2 	 -5977 	 Y1 	 35676 Y2 9035 	 Z1 	 -16977 Z2 	 -1589 
X1 	 -33430 X2 	 -7582 	 Y1 	 36425 Y2 9191 	 Z1 	 -17052 Z2 	 -2172 
X1 	 -33716 X2 	 -9644 	 Y1 	 34199 Y2 7167 	 Z1 	 -16703 Z2 	 -1837 
X1 	 -33236 X2 	 -4800 	 Y1 	 34057 Y2 6864 	 Z1 	 -16674 Z2 	 -3424 
X1 	 -33914 X2 	 -7568 	 Y1 	 34908 Y2 7637 	 Z1 	 -16784 Z2 	 -3173 
X1 	 -32948 X2 	 -6354 	 Y1 	 35268 Y2 7958 	 Z1 	 -16895 Z2 	 -2801 
X1 	 -34215 X2 	 -10536 	 Y1 	 36294 Y2 9143 	 Z1 	 -17806 Z2 	 -3057 
X1 	 -33035 X2 	 -5518 	 Y1 	 34471 Y2 6942 	 Z1 	 -17041 Z2 	 -867 
X1 	 -33720 X2 	 -6760 	 Y1 	 34368 Y2 6896 	 Z1 	 -16604 Z2 	 -4523 
X1 	 -32811 X2 	 -6867 	 Y1 	 34876 Y2 7243 	 Z1 	 -16827 Z2 	 332 
X1 	 -33771 X2 	 -7866 	 Y1 	 35019 Y2 8083 	 Z1 	 -16688 Z2 	 -1689 
X1 	 -33351 X2 	 -7436 	 Y1 	 34112 Y2 6215 	 Z1 	 -17439 Z2 	 -588 
X1 	 -33387 X2 	 -6832 	 Y1 	 33654 Y2 6207 	 Z1 	 -16682 Z2 	 -2585 
X1 	 -33389 X2 	 -7332 	 Y1 	 33770 Y2 6330 	 Z1 	 -16604 Z2 	 -2865 
X1 	 -33448 X2 	 -512X1 	 1 X2 	 -504 	 Y1 	 46 Y2 -41 	 Z1 	 -15 Z2 	 642 
X1 	 -77 X2 	 -75 	 Y1 	 23 Y2 -48 	 Z1 	 57 Z2 	 327 
